Day,Dept,Section,Time,Teacher,Course,Room
Tue,ME,ME 2A,10:20-11:10,AUK,EEE 174,EEE lab
Tue,ME,ME 2A,11:40-12:30,TH,"CHEM
101",304
Tue,ME,ME 2A,12:35-1:25,AUK,EEE 173,304
Tue,ME,ME 2A,1:40-2:30,AH/PM,ME 193,304
Tue,ME,ME 1A,8:30-9:20,MR,EEE 159,304
Tue,ME,ME 1A,9:25-10:15,SS,"PHY
101",304
Tue,ME,ME 1A,10:20-11:10,MWU,"MATH10
1",402
Tue,ME,ME 1A,12:35-1:25,MR,EEE 159,402
Tue,ENG,ENG 1A,8:30-9:20,DMO,ENG 1102,CSE L2
Tue,ENG,ENG 1A,9:25-10:15,DMO,ENG 1102,CSE L2
Tue,ENG,ENG 1A,10:20-11:10,DMO,ENG 1102,CSE L2
Tue,ENG,ENG 1A,11:40-12:30,DMO,ENG 1101,305
Tue,ENG,ENG 1A,12:35-1:25,SSI,GED 1105,306
Tue,DBA,DBA 1A,8:30-9:20,SMA,HUM- 1111,306
Tue,DBA,DBA 1A,9:25-10:15,SMA,HUM-1105,306
Tue,DBA,DBA 1A,10:20-11:10,JA,BBA-1101,401
Tue,DBA,DBA 1A,11:40-12:30,MWU,BBA-1102,R-302
Wed,CSE,CSE 4A,9:25-10:15,PK,"MATH
207",302
Wed,CSE,CSE 4A,10:20-11:10,MRR,CSE-215,302
Wed,CSE,CSE 4A,11:40-12:30,MRR,CSE-216,CSE Lab 2
Wed,CSE,CSE 4A,12:35-1:25,MRR,CSE-216,CSE Lab 2
Wed,CSE,CSE 4A,1:40-2:30,MRR,CSE-216,CSE Lab 2
Wed,CSE,CSE 3A,8:30-9:20,SNH,CSE 206,"CSE Lab
2"
Wed,CSE,CSE 3A,9:25-10:15,SNH,CSE 206,CSE Lab 2
Wed,CSE,CSE 3A,10:20-11:10,SNH,CSE 206,CSE Lab 2
Wed,CSE,CSE 3A,11:40-12:30,SSI,LANG 202,303
Wed,CSE,CSE 3A,12:35-1:25,SSI,LANG 202,303
Wed,CSE,CSE 3A,1:40-2:30,SSI,LANG 202,303
Wed,CSE,CSE 2A,8:30-9:20,PK,"MATH
105",402
Wed,CSE,CSE 2A,9:25-10:15,NR,EEE 169,404
Wed,CSE,CSE 2A,10:20-11:10,NR,EEE 169,403
Wed,CSE,CSE 2A,11:40-12:30,UK,ME 122,CSE Lab 1
Wed,CSE,CSE 2A,12:35-1:25,UK,ME 122,CSE Lab 1
Wed,CSE,CSE 2A,1:40-2:30,UK,ME 122,CSE Lab 1
Wed,CSE,"CSE 1A
(Even)",8:30-9:20,MA,"CHEM
102",
Wed,CSE,"CSE 1A
(Even)",9:25-10:15,MA,"CHEM
102",Chem Lab
Wed,CSE,"CSE 1A
(Even)",10:20-11:10,MA,"CHEM
102",Chem Lab
Wed,CSE,"CSE 1A
(Even)",11:40-12:30,SMA,GEBS 101,302
Wed,CSE,"CSE 1A
(Even)",12:35-1:25,SNH,CSE 101,302
Wed,CSE,"CSE 1A
(Even)",1:40-2:30,MA,CHEM 101,302
Wed,CSE,"CSE 1A
(Odd)",8:30-9:20,MM,PHY 102,
Wed,CSE,"CSE 1A
(Odd)",9:25-10:15,MM,Phy 102,Phy Lab
Wed,CSE,"CSE 1A
(Odd)",10:20-11:10,MM,Phy 102,Phy Lab
Wed,EEE,EEE 3A,8:30-9:20,ZT,EEE-212,CSE lab 1
Wed,EEE,EEE 3A,9:25-10:15,ZT,EEE-212,CSE lab 1
